"SR. NO ","SYMBOL ","COMPANY NAME ","ISIN ","ASM STAGE "
"Long Term",,,,
1,"63MOONS","63 moons technologies limited","INE111B01023","LTASM - IV (16)"
2,"AARVEEDEN","Aarvee Denims & Exports Limited","INE273D01019","LTASM - I (13)"
3,"ABAN","Aban Offshore Limited","INE421A01028","LTASM - I (13)"
4,"ACEINTEG","Ace Integrated Solutions Limited","INE543V01017","LTASM - I (13)"
5,"ADANIPOWER","Adani Power Limited","INE814H01011","LTASM - IV (16)"
6,"AGRITECH","Agri-Tech (India) Limited","INE449G01018","LTASM - I (13)"
7,"ALBERTDAVD","Albert David Limited","INE155C01010","LTASM - I (13)"
8,"ALKALI","Alkali Metals Limited","INE773I01017","LTASM - I (13)"
9,"ALPHAGEO","Alphageo (India) Limited","INE137C01018","LTASM - I (13)"
10,"ANANDRATHI","Anand Rathi Wealth Limited","INE463V01026","LTASM - I (13)"
11,"ANGELONE","Angel One Limited","INE732I01013","LTASM - I (13)"
12,"ANUP","The Anup Engineering Limited","INE294Z01018","LTASM - I (13)"
13,"APOLLO","Apollo Micro Systems Limited","INE713T01028","LTASM - IV (16)"
14,"ARCHIES","Archies Limited","INE731A01020","LTASM - I (13)"
15,"ARIHANTSUP","Arihant Superstructures Limited","INE643K01018","LTASM - I (13)"
16,"AROGRANITE","Aro Granite Industries Limited","INE210C01013","LTASM - I (13)"
17,"ARVIND","Arvind Limited","INE034A01011","LTASM - I (13)"
18,"ASAHISONG","Asahi Songwon Colors Limited","INE228I01012","LTASM - I (13)"
19,"ASHAPURMIN","Ashapura Minechem Limited","INE348A01023","LTASM - IV (16)"
20,"ASHIMASYN","Ashima Limited","INE440A01010","LTASM - I (13)"
21,"ASIANENE","Asian Energy Services Limited","INE276G01015","LTASM - I (13)"
22,"ATALREAL","Atal Realtech Limited","INE0ALR01029","LTASM - I (13)"
23,"AURIONPRO","Aurionpro Solutions Limited","INE132H01018","LTASM - IV (16)"
24,"AUSOMENT","Ausom Enterprise Limited","INE218C01016","LTASM - I (13)"
25,"AYMSYNTEX","AYM Syntex Limited","INE193B01039","LTASM - I (13)"
26,"BAJAJHIND","Bajaj Hindusthan Sugar Limited","INE306A01021","LTASM - I (13)"
27,"BALPHARMA","Bal Pharma Limited","INE083D01012","LTASM - I (13)"
28,"BANCOINDIA","Banco Products (I) Limited","INE213C01025","LTASM - I (13)"
29,"BBOX","Black Box Limited","INE676A01027","LTASM - I (13)"
30,"BCONCEPTS","Brand Concepts Limited","INE977Y01011","LTASM - IV (16)"
31,"BHARATWIRE","Bharat Wire Ropes Limited","INE316L01019","LTASM - IV (16)"
