"SYMBOL ","COMPANY ","PURPOSE ","DETAILS ","DATE "
"VINATIORGA","Vinati Organics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","11-Feb-2024"
"63MOONS","63 moons technologies limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"A2ZINFRA","A2Z Infra Engineering Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"AARON","Aaron Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"AARTECH","Aartech Solonics Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"AIROLAM","Airo Lam limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"AJRINFRA","AJR INFRA AND TOLLING LIMITED","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"ALLCARGO","Allcargo Logistics Limited","Financial Results","Prior intimation of the date of Board Meeting for considering the Un-audited Standalone and Consolidated Financial Results (with limited review) of the Company for the quarter and nine months ended December 31, 2023","12-Feb-2024"
"ALMONDZ","Almondz Global Securities Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"AMIORG","Ami Organics Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"AMNPLST","Amines & Plasticizers Limited","Financial Results","To consider and approve the Unaudited Standalone and Consolidated Financial Results for the Third Quarter and Nine Months Ended 31st December, 2023.","12-Feb-2024"
"ANDHRSUGAR","The Andhra Sugars Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"ANIKINDS","Anik Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"ANIKINDS","Anik Industries Limited","Financial Results/Other business matters","ANIKINDS : 14-Feb-2024 :  The Company has informed the Exchange that a Board meeting to be held on February 12, 2024 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on February 14, 2024, To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"ANUP","The Anup Engineering Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"ANURAS","Anupam Rasayan India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"APCL","Anjani Portland Cement Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"ARCHIES","Archies Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"ARENTERP","Rajdarshan Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"ARIHANTSUP","Arihant Superstructures Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"ASHIANA","Ashiana Housing Limited","Financial Results/Other business matters","Addendum to the Board Meeting intimation submitted on 30th January 2024 wherein it is informed that in the next Board Meeting of the company scheduled to be held on Monday, 12th February 2024 at Chennai (Tamil Nadu), the Board will also decide on the issue of debt securities on private placement basis. There is no change in other agenda items reported in the intimation dated 30th January 2024.","12-Feb-2024"
"ASHIANA","Ashiana Housing Limited","Financial Results","Board Meeting to be held on Monday, 12th February 2024 at Chennai to consider and approve the financial results for the period ended December 31, 2023, apart from transacting other routine items","12-Feb-2024"
"AURIONPRO","Aurionpro Solutions Limited","Fund Raising","To consider Fund Raising","12-Feb-2024"
"AVADHSUGAR","Avadh Sugar & Energy Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"AVROIND","AVRO INDIA LIMITED","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"BAFNAPH","Bafna Pharmaceuticals Limited","Financial Results","To consider and approve the un-audited financial results for the period ended December 31, 2023","12-Feb-2024"
"BAGFILMS","B.A.G Films and Media Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"BAJEL","Bajel Projects Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"BALPHARMA","Bal Pharma Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and to consider investing additional capital in expanding its manufacturing presence , through a green field project.","12-Feb-2024"
"BANARISUG","Bannari Amman Sugars Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"BASF","BASF India Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"BHARATFORG","Bharat Forge Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended December 31, 2023, dividend and Fund Raising","12-Feb-2024"
"BHARATFORG","Bharat Forge Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"BIL","Bhartiya International Limited","Financial Results","To consider and approve the financial results for the period ended December 31, 2023","12-Feb-2024"
"BLS","BLS International Services Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended December 31, 2023, dividend and other business matters","12-Feb-2024"
"BLSE","BLS E-Services Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended December 31, 2023 and other business matters","12-Feb-2024"
"BURNPUR","Burnpur Cement Limited","Financial Results","Board Meeting Intimation for considering, approval and taking on record the Unaudited Standalone Financial Results of the Company for the quarter and nine months ended December 31, 2023 along with the Limited Review Report thereon.","12-Feb-2024"
"CERA","Cera Sanitaryware Limited","Financial Results/Other business matters","Board Meeting Intimation for Consider And Approve Standalone & Consolidated Unaudited Financial Results For The Quarter And Nine Months Ended 31.12.2023.","12-Feb-2024"
